id,context,question,answer0,answer1,answer2,answer3,label
3VDVA3ILIFTITNYBDDGP922BNGI1G6##3H7XDTSHKF6EH8C803BCRCOUAXVWGS##AJ7NSZOAFP05U##Blog_489496##q1_a1##3L21G7IH49AIFEJB7J2VG29FSM0Y1D,"Sooooo , I finally got to see Daddy play his music ... and I LOVED it ! ! ! Mommy and I spent a few hours with friends and great music . I did n't get to see him with the Squirrel Heads , but I did get to see him with the Ramblers .",What may have caused you to go with Mommy to see Daddy ?,Mommy was playing in a concert .,He was playing in a concert .,None of the above choices .,They wanted me to meet a few friends .,1
3QI9WAYOGQ91WP9SULAN1EONQPFS60##3A4NIXBJ77XJ3ZXONVQ538320MPLM9##A2KYOM2ZGYDJGT##Blog_513100##q1_a1##3PA41K45VPI2HM6C5CNL4L7GRS0P7O,"I got my mom 's wedding ring reset . It was a tough decision for me to do it , but , I wanted a look that was more in keeping with what she had when she and dad got married as opposed to the sort of 70 's looking ring they had made ... .in the 70 's . I talked to dad about it first of course to make sure that he would n't be upset by me doing that . He was fine with it , he only requested that I give him the old setting back once I got it reset !",What did the writer ask approval from their father for ?,upsetting him,Making a tough decision,Getting a new 70 's style wedding ring,Having their mom 's wedding ring reset,3
3A520CCNWPEG3XFK31JUK0A2EQ0AE5##3KRVW3HTZQ0L21RLR1Z67S560PBMSD##AJ7NSZOAFP05U##Blog_273448##q1_a1##3SMIWMMK63JUZ6F9U6UR67TWSBPUW1,"UNT will partner with Haskell Indian Nations University in Lawrence , Kan. , and the U.S. Environmental Protection Agency to build a diverse workforce that can meet the country 's environmental demands . Under a memorandum of understanding signed Sept. 5 , the groups pledged to work together to increase the number of American Indian students pursuing professional careers in environmental fields , including policy , economics and science . "" This new partnership expands the long tradition our university has had in working with the EPA to find solutions to some of our nation 's most pressing environmental and societal problems , "" President Gretchen M. Bataille says .",What may have caused the UNT to partner with Haskell Indian Nations University ?,None of the above choices .,They both wanted to start working with the EPA .,They wanted to promote uniformity in employees .,They wanted to promote variety in employees .,3
37VE3DA4YWVX6HBEZGRW0ERLN1YHBX##3WSELTNVR6HLF0VBJYER866S6EQTAN##AJ7NSZOAFP05U##Blog_899986##q1_a1##3IKMEYR0LY9UKUCQM81ICD49MAIK2S,I was in the hospital saturday morning becuase i was cramping and having alot of pain in my pelvic area . They tested my urine and said there was no blood in it but they were going to give me an antibiotic becuase he thought something was going on . I was in the doctors on tuesday of my weekly check up and they said everything was fine how can something change so fast ?,What may have caused your visit to the hospital ?,I was experiencing intense discomfort because of the antibiotic .,There was blood in my urine .,None of the above choices .,I was experiencing intense discomfort .,3
3WPCIUYH1A61WY1MT8NRHPU19FDTDL##3FDJT1UU756ABMU0AWXI76F1SNIK5Y##A1OPGPTQJ48XOY##Blog_242402##q1_a1##3TZDZ3Y0JUK3EDB3Z7AFHLGOJCX197,"Though my nephew Alex seems to have passed his cold to Erick and myself while we were babysitting , so today I ' m not feeling quite as good as I 'd hoped - while I ' m supposed to be helping my parents put their house back together post - remodeling in time for the shindig tomorrow . Not only for Memorial Day , but also for my grandparents ' 60th Wedding Anniversary party . Anyway , now I ' m waiting for my transcript to arrive so I can finally apply to Colorado for permission to take the NCLEX . I just KNOW they 're going to lose it and some disaster will happen and I 'll never get a job .",What did you do before going over to help your parents ?,I took some cold medicine to try and pep myself up before the work we had to do,None of the above choices .,I called Alex 's parents to shout at them for not telling us Alex had a cold and that he passed it onto us,I told my parents that they should get started without my because I was struggling to get going with the cold,0
3ZTE0JGGCEQBEEQ0XV6H396WP22COQ##308Q0PEVB9B26E6ODJPN665QM0K9IH##A2KYOM2ZGYDJGT##Blog_558527##q1_a1##3SCKNODZ0ZU2E1UZPXAT0W2LRLM7ND,"But whatever she does , it 's always more than enough to make me smile and feel better . She never falters having that effect on me . We had our usual lunch time together , which is a good thing that we could still have it together .",Why do they have a usual lunch time together ?,Because they enjoy each other 's company .,Because she makes the writer smile .,Because she makes the writer feel better .,None of the above choices .,0
3T5ZXGO9DG2618DXOKUTVAQP6NXZQR##3O7L7BFSHH4YWZWC5RH9QIUAJJ8EI3##A2KYOM2ZGYDJGT##Blog_1403416##q1_a1##3IZPORCT1HNKMOS3VDDM0TWP6QEHRU,"I had a fun afternoon yesterday going through my cupboard and the boxes under my bed . It was like opening a time capsule , some of the stuff had gone untouched for that long . Since we last moved I 'd all but forgotten i owned so much crap , because i keep a much tidier and clutter - free room than i used to have . I started to realise that 's largely because most of what i own is * still * packed away in the same boxes i used when moving , and a lot of this stuff i uncovered was antique and long forgotten even then .",Why had some of the stuff gone untouched for that long ?,None of the above choices .,It was yesterday .,We rarely use them .,I owned so much crap .,2
36MUZ9VAE8GE14IWNBAWA1I8Z9FDEO##3B2X28YI3ZUKWCPRTZ6US7YK8X9B6K##A2KYOM2ZGYDJGT##Blog_704848##q1_a1##3GS542CVJX122VCM0UCRKBT6WAF599,"While I have generally supported "" profiling "" that is based on statistics I must say I feel violated for being a victim of profiling at Walmart . There I was minding my own business and spending my hard earned money on school supplies and a tent . On my way out I get stopped and asked to see my receipt . Treated my like a theif .",Why was I spending hard earned money on a tent ?,None of the above choices .,Because I was minding my own business .,Because I feel violated .,"Because I have generally supported "" profiling "" .",0
3P0I4CQYVY5KSCW5EM6IF3DZHKJWOM##3EG49X351VACEQTLEYMCP613KLOX6K##A2KYOM2ZGYDJGT##Blog_386679##q1_a1##3XD2A6FGFP838XAXCQPZDM3X9CM9SB,I did n't want to hold the kid . I had n't gotten much sleep last week and it was starting to wear on me . Plus my allergies were ( and still are ) doing horrible things to my sinuses . The last thing that kid needs is me sneezing germs all in his newborn face .,Why did the writer not want to hold the kid ?,Because allergies are doing horrible things to the writer 's sinuses .,Because the writer 's lack of sleep was wearing on them .,Because they thought they might get the kid sick .,Because they had n't gotten much sleep last week .,2
3TRB893CSLOW49DD2TXYACTOQ7C7GD##3M0BCWMB8YBIQR4XKHJYQ1XXVXTWBS##A2KYOM2ZGYDJGT##Blog_6870##q1_a1##3BVS8WK9Q29X2CMY5Y9H0QS0OHQIBB,At the beginning of the change there were jet airplanes . Letting us jump from one place to another in a matter of hours . Then automated long distance telephony services came along . It was enough to add two or three country code digits and we could here somebody on the other side of the ocean .,Why did jet airplanes allow us jump from one place to another in a matter of hours ?,Because it was enough to add two or three country code digits .,Because automated long distance telephony services came along .,Because it was the beginning of a change .,None of the above choices .,3
385MDVINFETLLQ4FI7QDZ5KLBSFWJP##34MAJL3QP721EUH0VIY9DQGUNO043U##A2KYOM2ZGYDJGT##Blog_429404##q1_a1##3566S7OX5FXZ0UNAKACV3PPIOPA172,I am not sure how long into the race I decided to remove my mud caked glasses and accept the occasional speck of dirt to the iris . It was dirt through the eyes or trying to catch a glimpse of the action through the mud coated lenses . The course was wet and muddy and racers were all over the place .,Why did I decide to remove my mud caked glasses ?,Because I could n't see out of them .,Because I tried to catch a glimpse of the action .,Because the course was wet .,Because I accepted the occasional speck of dirt .,0
3OJX0UFJ0Z54TL3UHX8Z0PXD1WCU9F##3CPLWGV3MPXUKFHFAZ2FBE177UP9NX##A2KYOM2ZGYDJGT##Blog_1560347##q1_a1##3ECKRY5B1SATKAPEBCPKM8Z3FDFIZ6,"Far from bustling , it had a ghostly desolateness about it . As if the people were clinging to one last hope of industriousness . A man approached us as we departed the marketplace and spoke what was otherwise unintelligible English . Pointing to a wheel on the side of the street , he proceeded to tell us : "" when industry was done everything is finished . """,Why is this place far from bustling ?,Because it 's in a state of decline .,None of the above choices .,Because a man approached the writer .,Because people are clinging onto something .,0
31D0ZWOD0CDHC70QVUKFZB8YKPQA0J##3ZAZR5XV04X5UR1894Z00PXXTRTCZE##A1S1K7134S2VUC##Blog_346772##q1_a2##3E6L1VR4XY07M93D8ZMOMDTGUMIF6N,"It looked nothing like the one in Manhattan . It really felt like I was in Taiwan , Hong Kong or China , not that I ' ve been to those places , but it did n't feel like America . My friend took me to a hot pot place ( also known as steamboat in Singapore ) .",Why did they go to a hot pot place ?,To feel like they were having an American meal in a strange country .,None of the above choices .,The wanted an experience similar to what is found in Manhattan .,They wanted food like you can get in Singapore .,3
3MGHRFQY2LN3E0ZMR2MVAZ2XUSN0YP##3R2UR8A0IBE23WZPEU8666NU5R6OX0##A1OPGPTQJ48XOY##Blog_669043##q1_a1##3L55D8AUFCB22HT9NGRFXYS6WI8YCI,"Rebecca was incredibly calm when I first arrived . She was so excited for her wedding day and was n't letting the little details stress her out . We spent the first while in her hotel room with her sister , sister - in - law , mother and grandma .",What happened after spending the time in the hotel room ?,Rebecca decided that she wanted to get dressed at the hotel and not at the venue and we ended up being late,Rebecca realized she had forgotten her clothing and had to go home to get it which left us being very late to the venue,Rebecca started to get cold feet and would not leave the hotel,Rebecca and the other girls headed over to the wedding venue to get dressed,3
3UXQ63NLAAKKYOVX63UU08WKC5NBLD##333U7HK6IADA4F3B7HFP433GPWHJD4##A1OPGPTQJ48XOY##Blog_650589##q1_a1##3XABXM4AJ3JRHCCAFUUGIQTL7EPQ8C,"I needed to see my children . So I was . Traveling by floo was never very entertaining , and when I came tumbling about at the specified address I was covered with soot . But I managed to get it off quickly . "" Acacia , "" I called desperately , looking about these foreign surroundings .",What causes you to be covered in soot ?,None of the above choices .,When traveling by floo one incurs a great deal of dust and soot and that collects on the clothing,I tend to arrive in rooms which are covered in ash and soot,I tend to like having fires at home and before I leave to travel I put out the fire causing the soot to collect on me,1
3CVBMEMMXBEVAG9H213G3EHHCPH7HS##3M1CVSFP613TSV4CIX8WB37WHGKAQB##A2KYOM2ZGYDJGT##Blog_250730##q1_a1##3X2YVV51PWIEQ9OBSIK7V5OZH31W1R,My latest job is with Family Skill Builders and I get to be a so called super nanny for families in the DHS system . Even though I am an employee I still retain scheduling flexibility because they have no office and all client visits I schedule and are in client 's home or at a DHS branch . In fact one of the job qualifications was to be a good self manager because you wo n't have someone looking over your shoulder ... that fits me ! I invested in a itouch ( business write off a perk of self - employment ) so I can sync my calendar from Outlook and listen to music of course .,What may be the reason the writer applied for this job ?,the writer hated their old job,the job has a flexible schedule,the writer likes being in the DHS branch,the writer wants to listen to music,1
324N5FAHSZP3HLASAILTEI1KJDFVKP##3PS7W85Z82H7AHL6RS0RCBV8480T9S##AGUF6B4Q9991D##Blog_807260##q1_a2##3U74KRR67OZPCZR620DU5SU4H2INTH,"I always get such a kick out of these photo shoots because I feel like such an imposter . While I love experimenting with new hair and makeup ( yesterday , I requested "" Messy Bed Head "" and "" Muted Lip "" ) I despise posing for the camera and feel ridiculous when the stylists run over and move a strand of hair from one side of my face to the other . For years I ' ve been on sets to help style or interview someone but I never thought I would ever become the subject .",How does this person feel during the photo shoot ?,Unocomfortable,Indifferent,Confident,Unenthused,0
3ECKRY5B1QUEQLQ7REDKUABVM0SIZH##32EYX73OY17DJ5XA1HENGUTVKRSRUR##A2KYOM2ZGYDJGT##Blog_1500867##q1_a1##39O0SQZVJPLNTZMRI4RA9G7VSC47RI,"All the colors , chocolate brown earth and yellow - green budding trees , and the red shirt of a farmer in the distance , had a crisp brightness to them . "" Are you tired , Fanny ? "" he asked after a few minutes . "" No , not at all - I ought to be , but somehow in such beauty I am refreshed instead of fatigued . "" "" Then let us go back slowly , and we can talk as we go . "" She turned , keeping to a walk , and he came up with her on the outside .",Why is Fanny refreshed instead of fatigued ?,Because a man was keeping her company .,She is in a pleasant environment .,Because a man asked if she was tired .,Because the farmer was wearing a red shirt,1
3D0LPO3EABXOHHR5TNO600YFSHKOYS##35DR22AR5EIDH763VWOEI3PJ9BXX3M##AJ7NSZOAFP05U##Blog_1040709##q1_a2##3UUIU9GZC7JLMAL0Y0H8BBUHPUBT5D,"People also read the comics I had checked out from the library ... seriously four different people read Chicken with Plums in its entirety over the course of the evening . We also played Soul Calibur IV , which I completely sucked at ... however , I did get the best Ring Out of all time against Geoff "" The "" Ball . I asked Geoff to wake me up before they left this morning so I could say goodbye ... so he got me up at 8:30 , we said our goodbyes , and instead of going back to sleep , I just stayed up , something which I started to regret a couple of hours ago . Sooo tired . Anyway , things were a bit more low - key than last year , and it sucks that they could n't stay longer .",What may have been Geoff 's reason for waking you up ?,He wanted to share a Chicken with Plums comic .,He requested me to wake up early and I failed to do so .,None of the above choices .,I requested him to do so .,3
37MQ8Z1JQGAP4Z17QN29LLJKKKYY2Y##38SKSKU7R4CC2564MD4D3DKUR5MILK##A2KYOM2ZGYDJGT##Blog_1224029##q1_a1##30F94FBDNTYNBQ29ZA8LEXU9ZXMTBH,"Oh Rufus how could you ? ! I know its my fault for leaving the 5 pound bag of dog treats on the counter and leaving the house , but did you really have to eat them all while I was gone ? ! I left the house in a hurry yesterday , not even thinking about the brand new bag of dog treats I left sitting at nose level on the counter .",Why did Rufus eat all the dog treats ?,Because it 's a 5 pound bag .,Because he really likes to eat them .,Because it 's my fault .,None of the above choices .,1
3Y3CZJSZ9KRTC691AD0DJY5R840R5Y##39U1BHVTDMP60QXJQMNHT04DW1D3TL##AGUF6B4Q9991D##Blog_491774##q2_a1##3ZVPAMTJWPH6MSXSB7V4FTKORLZGRI,"I did glare at her , though . I was probably only in there 40 hours total . I knew what to say to get out , and I played their stupid little games . I swallowed their pills , and I agreed to enroll in their partial hospitalization program if they would just let me go home .",What can be assumed about the narrator ?,She does n't know her way around the system,She knows how go through motions,She knows how to get into a facility,None of the above choices .,1
31KPKEKW4AB71S6BHA8B2O4W9GM0BL##3180JW2OT5AF02OISBX66RFODL75JJ##A2KYOM2ZGYDJGT##Blog_1165382##q1_a1##3SR6AEG6W77TJP4P985G8PPM9AQYH4,"Nobody was there and it was kind of late , so I ordered some pizza to share with my third room mate when he got back . I can tell he 's more like me than the other two , and I feel a bit more natural with him . The two other room mates are very much partiers and they 're almost always together .",Why did the writer order some pizza ?,Because it was kind of late .,None of the above choices .,Because they were hungry .,Because the writer feels natural with the roommate .,2
3XBYQ44Z6RIFZT0KU14H1B7U9JPTWO##36NEMU28XISE9I8UB6974H8R62AMWV##A1S1K7134S2VUC##Blog_932710##q1_a2##3O0M2G5VC8GK6C8MMPTHFJNRVXH944,"I should explain that I have been writing up the outdoor hours a week after our walks , giving us time to do more observation and research . Outdoor hour # 5 was keeping a list ( like of the lizards you had seen ) and Outdoor Hour # 6 is starting a nature collection . We already have a nature collection , so I feel pretty confident writing about it today .",Have outdoor hour # 2 and 3 been written up already ?,"The lizards in nature are more interesting to write about , 2 and 3 are not started .","Outdoor Hours 2 and 3 have yet to be done , so they can not e written up yet .",None of the above choices .,"2 and 3 outdoor hours were completed earlier , the write up is complete .",3
3GONHBMNHVW0M4GYCTBCM3IC3ADMZ4##3YDTZAI2WYEQ924EOH8QXZDOHNU14G##A2CMYWI1J292YJ##Blog_1331808##q1_a1##3JTPR5MTZUQMJRVD4R3GAK7L6FEK5O,[ 12 ] Where was your FIRST sleep over?No idea ... maybe my cousin Amy 's house ? [ 13 ] Who was the FIRST person you talked to today?The cat . [ 15 ] What was the FIRST thing you did this morning?Fed the cat then did a wee .,Where did I talk to the cat ?,In the neighborhood .,In the living room in my house .,In Amy 's bedroom,In the cat 's cage,1
3TCFMTM8HEMDK4RXU0J0F0K2K5Y12C##3PDJHANYK6EFS0T69U4QMKD9W0SH68##AGUF6B4Q9991D##Blog_1567653##q2_a1##3L2OEKSTWBO0QE3W64BAVCWN6RO8YN,"They had the option of not being elegible for the prize , but when they asked what the prize was so that they could make a qualified decision , the organisers did n't allow it to be revealed ( seems reasonable right ? haha ) . There was a nice round of anime questions , but as the rounds quickly passed , I realised that the questions totally sucked . There were 2 rounds out of 6 of video games questions , and random video games questions in all the other rounds , adding up to about 50 % of total questions .",Why was the narrator playing the game ?,He wanted notoriety,He wanted the prize,None of the above choices .,He wanted to embarass others,1
36FFXPMST9M2VM1GJNKIE03C2ODHOY##3Z4XG4ZF49PZI4C97DJA9KXUPCDX8W##A2KYOM2ZGYDJGT##Blog_665716##q1_a1##39O0SQZVJPLNTZMRI4RA9G7VSH07RO,"The whole presentation took less than an hour and 20 minutes of that time we spent eating snacks they had for us . I am sure we are a very rare case . If you 're thinking about doing one of these definitely go through Marriott , they are by far the best ( from our personal experience ) . If we traveled more and had a lot of EXTRA money a timeshare seems to make sense .",Why did they spend 20 minutes eating snacks ?,Because the presentation took an hour .,None of the above choices .,Because they were at the Marriott .,Because they are a very rare case .,1
3L4YG5VW9NQUF95P7INCCLCF68RDDI##3EJPLAJKENE1JLT0FGAXMRHEPTIZ6S##A2KYOM2ZGYDJGT##Blog_746947##q1_a2##389A2A304QW55MXOF8G656YMKVFC0X,"Apparently , I judge a book by it 's ending . As always , the first thing I did when I got my grubby hands on my friend 's copy of the book I was dying to read was flip through the last three , four pages and read it to my heart 's delight . Then ... wait for it , wait for it ... I leaned back on my chair with a warm and broad smile , sighing contentedly .",Why did the writer read the last 3 or 4 pages of the book ?,They wanted to lean back on their chair,They were curious about it,None of the above choices .,"They wanted to smile and sigh , contentedly",1
3G9UA71JVVSR1M47Q161FRXWPOQJ7S##37C0GNLMHG1YGKO4NYL0VZYB3FCD6L##A2KYOM2ZGYDJGT##Blog_1527106##q1_a1##3UYRNV2KIVD6EFZIZ22ZEWYG20ON82,The marathoners were off . The convoy of machine gun - toters was leading the way . I only know this because I stuck my hand in the air to take pictures . I would look down at the exposure and see what was happening .,Why were machine gun - toters leading the way ?,They were providing security .,The writer was looking down at the exposure .,The marathoners prefer to run behind machine gun - toters .,None of the above choices .,0
33BFF6QPI19V6N3JVOMQR0FOMNOW3G##3K4J6M3CXFR2F6AYF13KHP3UCL3AGT##AJ7NSZOAFP05U##Blog_960492##q1_a1##3ZQX1VYFTFJOW0ZU0H2CTLYLSF28OL,"And my crewmates also freaked out when shane dropped a sugar bowl , and I walked throug the glass pieces "" OH MY GOD , DON'T WALK , THERE 'S GLASS THERE ! "" . They started to view me as some strange sort of mystic , but I just assured them it was all due to very thick skin on my hands and feet . Eventually I went for a walk ... and discovered the "" water dancer "" .",What may have caused your crewmates to freak out ?,They performed a remarkable feat .,Shane dropped a sugar bowl and that made my crewmates freak out .,I performed a remarkable feat .,They were able to walk on glass .,2
3U74KRR67MJAIASZI21UDU6VN5XTNT##3ATTHHXXWBMS7AOMGZV1M9R8SRMIXV##A1OPGPTQJ48XOY##Blog_1201393##q1_a1##3O71U79SRD3IFHTR1ZT4I89H96OMS8,"About an hour later , Orbitz calls and tells me they ' ve rebooked my flight at no charge and gives me my flight info . They have forever endeared themselves to me for this . I continue to plug along , though my blood pressure is still at great heights . My boss is flitting about the newsroom almost giddily .",What has caused your blood pressure to soar the way it has ?,I was irritated that I had to spend the day working when I could have been home packing for my trip,I was worried and concerned about the issues I was having with sorting out my travel itinerary,I was irritated by my boss 's happiness and giddiness,I was annoyed that I had to work while I would be traveling soon,1
3ZXNP4Z39TZCQ1REDKUEN4YWMLGL79##3IUZPWIU1RMJJU8RQUWRP4GNHEOWK7##A2KYOM2ZGYDJGT##Blog_252329##q1_a1##35ZRNT9RUKC2V3TOO07G24QACXS3OE,"The next page told almost exclusively about Lestat . The things he bought him , the places and restaurants he took him , their talks . "" Lestat filled my room with fancy furniture , and keeps bringing me new clothes all the time .",Why did Lestat buy things for someone ?,Because he took him to restaurants .,None of the above choices .,Because he took him to places .,Because Lestat is generous .,3
3KVQ0UJWPXJYK2QN97AJ6XD80PFW5I##3MX2NQ3YCASGVMT79FC7X0N3OQ0X5R##AJ7NSZOAFP05U##Blog_1192137##q1_a1##3PGQRAZX04YI9YI5K2HFC3WOIL7YSP,WordPress Affiliate Pro You Need this program ! Finally it became a dream come true . I had been struggling with learning some of the ways to install and tweak Affiliate Programs on my websites . It has been a bit of a struggle and if I only knew about WordPress Affiliate Pro before this it would have bee so much easier !,What might happen if you use WordPress Affiliate Pro ?,You would only be able to use the programs on WordPress sites .,"Adjusting marketing campaigns wo n't be easier , but you can tweak more .",Adjusting marketing campaigns will be simpler .,You would n't be able to install some affiliate programs on website .,2
3LCXHSGDLVKK3T1EK15L504800FESL##38BQUHLA9ZF649ZSKKIXNNV53HXOM5##AJ7NSZOAFP05U##Blog_1336682##q1_a1##3MDKGGG61S1H5ELE3JRD3H8HLVZT6I,"They just did n't talk , & & new viewers would probably guess that the two were n't even friends . Hodgins did seem a little quieter , but that was it . I was extremely disappointed about this . I was also annoyed at Brennan 's new assistant , Daisy .",What may have caused you to be disappointed in this ?,Brendan did n't react how he should have .,The new viewers were quieter .,I was annoyed when they did n't talk to me .,Someone did n't react how they should have .,3
3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q2_a1##3OQQD2WO8KKSZHILQ5UBI7UO0CI3IK,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .",What may have happened to the old man ?,He was waiting on a ride,He likely fell on the sidewalk and hit his head while intoxicated,He was waiting on the taxi,None of the above choices .,1
3WGCNLZJKHMFH3OKBNFH3HZEAMG1D6##338JKRMM29EVAR4GJ4X2UN34XZAAH5##A394JO4NEPCY3M##Blog_1312805##q1_a1##33BFF6QPI3PA0C2QFMYQJY3WFYB3W8,"Between work , my katze waking me up like every hour , and god only knows what else , I think it is time . I am most def going to the chiropractor in the afternoon tomorrow . I had Iris look at her skydiving stuff again . It is here in Indiana .",What is probably true about the narrator ?,They are not having trouble sleeping,They are not having back problems,They do not believe in chiropractors,They are having back problems,3
3CVDZS288JE9BCO5VFT5B9Q2KOMMFX##32RIADZISVJ5YB2FLXZALYO6GXN4SX##A29RROPO0Z90XV##Blog_1478075##q1_a2##32204AGAADQTXYJPF2JA1PIJ5W1HGT,"And that included themselves . If nothing was said it could never be wrong , and by not expressing verbal insecurities their bodies learned a way of letting each other know what they wanted , needed , craved , feared ... getting along in silence was a bond that would live with them forever , but tonight forever was too strong a word for two carefree , curious and close friends . John moved and broke the hug .",Why did John break the hug ?,He wanted to move forward with a relationship .,He did n't like him all that much .,He did n't want to touch him .,None of the above choices .,0
378G7J1SJNCDAAIN46FM2P7T6I6EW5##32Z9ZLUT1OZKCVYHTN2KVIN9NELOHM##A394JO4NEPCY3M##Blog_45864##q1_a2##3GITHABAC0ZVS0XTJLTY45LDGA6N2T,"As a coworker likes to say , "" Did I take a foolish pill ? "" Today I spent hours searching the house for my keys , only to find them in my purse in a pocket that I am POSITIVE I already checked ! * shakes head at self * This and the last post really make me wonder .",What is probably true about the narrator ?,They do not feel forgetful right now,They knew exactly where their keys were,They feel forgetful right now,They do not feel foolish right now,2
3JMNNNO3B126L570RO8L8QAWG9OW25##3A9AA95ATXKBMDRGNO2Q3N10LYR5PO##AJ7NSZOAFP05U##Blog_1206311##q1_a1##3L2OEKSTWBO0QE3W64BAVCWN6P1Y8M,"Other features include , site of the month , hot picks , a players club , a newsletter , and a large archive of bingo news and articles . New to bingo ? WhichBingo offers a beginners guide for those uninitiated to online bingo . Whether you are searching for information on land based or online bingo you are sure to find it on WhichBingo .",What may be a good reason to use WhichBingo to play bingo ?,It 's just a a players club that helps you learn more about bingo .,WhichBingo gives you land - based information on where bingo is being played .,It is n't friendly to novices .,It 's a one stop shop for everything related to the game .,3
3LXX8KJXPYNOA5I4598QTHTWCQ6O9M##3JPSL1DZ5VENKNQRM2SFZ700L91ANU##A2KYOM2ZGYDJGT##Blog_487574##q1_a1##37PGLWGSJVKYVFQSBBMAZTBRCQXKIS,"Anytime i have had fees in the past ... as soon as i went in to check out more books ... i paid them as soon as i found out . They did n't send me any notice in the mail or anything ... no phone call either . So , i was shocked when i read the email . But anyway , when i got ready to pay her ... she seemed embarassed and said ... actually the fee was like 13.00 because more fees accrued since the notice was sent .",Why did I pay the fees as soon as I found out ?,Because I am responsible .,Because there was no phone call .,Because there was no mail .,Because they did n't send me any notice .,0
3JU8CV4BRLAU83Z420SNN953OCHPOZ##3AAPLD8UCDFLUY4I57CJXU5NFHLHTI##AXJ1PE87PD0KK##Blog_974653##q1_a1##3JU8CV4BRNQ92SYBMY4NF7TBHMWPOA,"There is no photo for this post . I did n't bring my camera , and no google image is going to do this any justice . I just got home from the Radiohead show here in Vancouver and I am still in shock . It was incredible .",How am I feeling after the show ?,I am disappointed with google images .,I am excited about bringing my camera .,I am excited to have had this experience .,I feel like I 'm sick from Radiohead .,2
3XU9MCX6VOA1D9QESUYFLR2FOY9R25##3AWETUDC93QHC5O1HHJMJU7J11CIZ5##A33PQXKQHFVF3V##Blog_480965##q1_a1##3BO3NEOQM2VSJ2H6ZK9L5F8U6UYIAZ,"A friend who did NOT forget her birthday ! I feel like such a moron . Her response when I finally realized ... somewhere around 7 was , "" you ' ve got lots going on . "" not an excuse ( although , honestly , I knew it was coming up , but thought I still had a week - thought it was next Monday ) !",How will I likely feel after this event ?,None of the above choices .,I will feel terrible that I missed my friend 's special day .,Embarrassed because my memory has been failing me a lot lately .,"I 'll shrug it off , birthdays happen every year .",1
3GS542CVJVLN86DFGW0RSD5X26F95Q##3VHHR074H4F0IWQ1JPOGKQ6C692L7V##A2KYOM2ZGYDJGT##Blog_669061##q1_a1##3Z56AA6EK6EDSJVUUMQ1H3DPRC4M6P,"The Boscovs department store chain , based in Reading , filed for bankruptcy today in Wilmington , Delaware . The company will close ten stores and get $ 250 million in rescue loans from Bank of America and others to remain in business . Boscovs rapidly expanded into malls when consumers were gravitating away from them and began opening stores farther and farther away from its Pennsylvania base . As the economy went south and consumers began pulling back on shopping the stores sank into debt .",Why did Bank of America give a failing company a large loan ?,It was in Bank of America 's best interests to keep it alive .,They support companies based in Pennsylvania .,They like to support companies that are sinking into debt .,They are generous with their loans .,0
3U18MJKL1UKTWTQOWG64OK6RZCICN0##30LSNF239VTR6ULPSAA8WJXCDDE2IL##A2KYOM2ZGYDJGT##Blog_1373025##q1_a1##3UV0D2KX1OXT7MZZPBT9PF92YKNF4R,"so much drama , u guise . * sighsigh**sighsighsigh * ... * sighsighemphasissigh*On the OTHER hand , I love you , Rupert . Just ... with anything that comes out of his mouth , I melt . Harry Potter star Rupert Grint is looking to gain some more independence by buying property in London . We recently spotted him checking out a house near Hyde Park right next door to actress Keira Knightley . Despite the chilly weather , we got to chat with Rupert while he waited for some friends .",Who was spotted checking out a house ?,Harry Potter,Keira Knightley,the writer,None of the above choices .,3
3QHITW7OYQN5005PCSEUEHZGX2RQAI##3G5W44VEUAXNM8IRBPS931UZO9GGKD##A1S1K7134S2VUC##Blog_1489247##q1_a2##32CAVSKPCG31Y5Z6XI56DH32W0M1UJ,"If I ' m not happy with me , how can anyone else be happy with me ? I start my next weight loss attempt tomorrow . I should have done it today , but I wanted some ice cream . So I start tomorrow .",Has any of the weight loss attempts previous to this one succeeded ?,"There was never any ice cream in the past , so they all worked .",This person is happy to be able to loose weight at any time .,"Every diet resulted in the loss of some weight , so all were successful .","This person needs to adopt a positive self image , for none of the previous diets worked .",3
311HQEI8RUUWVQ8ISLLNVJ9UZ1AZ74##32Z9ZLUT1OZKCVYHTN2KVIN9I0XOH1##A1I72NHC21347A##Blog_800846##q2_a1##3XDSWAMB246TTF2NW6ALKCP4X0GQCE,"Even if I do n't have an active pimple , there are these little bumps that are just filled with nothing and makes it look like I have an uneven complexion . Then add to that the scars on my face and the oiliness :( I was really excited to go on BCP actually . I wanted to go on it since I was about 16 and now that I have and I had all this hope for a clear complexion I have to deal with weight gain .",What ay happen if I stop taking BCP ?,The scars on my face will be gone,All my bumps will comeback,My oily complexion will leave,I will have a lovely clear complexion,1
