question,title,answer,passage
is a purchase price alone considered to be a prove of part performance in any jurisdiction,Statute of frauds,False,"In an action for specific performance of a contract to convey land, the agreement must be in writing to satisfy the statute of frauds. The statute is satisfied if the contract to convey is evidenced by a writing or writings containing the essential terms of a purchase and sale agreement and signed by the party against whom the contract is to be enforced. If there is no written agreement, a court of equity can specifically enforce an oral agreement to convey only if the part performance doctrine is satisfied. In most jurisdictions, part performance is proven when the purchaser pays the purchase price, has possession of the land and makes improvements on the land, all with the permission of the seller. No jurisdiction is satisfied by payment of the purchase price alone."
are there any montgomery ward stores still open,Montgomery Ward,False,"DMSI applied the brand to a new online and catalog-based retailing operation, with no physical stores, headquartered in Cedar Rapids, Iowa. DMSI then began operating under the Montgomery Ward branding and managed to get it up and running in three months. The new firm began operations in June 2004, selling essentially the same categories of products as the former brand, but as a new, smaller catalog."
are the make it or break it cast real gymnasts,Make It or Break It,False,"Make It or Break It was created by Holly Sorensen who, along with Paul Stupin and John Ziffren, served as the show's executive producers. The stunt doubles were former elite, Olympian or NCAA champion gymnasts."
can you die from keeping a fan on,Fan death,False,"Fan death is a well-known superstition in Korean culture, where it is thought that running an electric fan in a closed room with unopened or no windows will prove fatal. Despite no concrete evidence to support the concept, belief in fan death persists to this day in Korea."
does heathrow terminal 5 have an underground station,Heathrow Terminal 5 station,True,"Heathrow Terminal 5 is a shared railway and London Underground station serving London Heathrow Airport Terminal 5. The station serves as a terminus for the Heathrow Express services to Paddington in central London, and for Piccadilly line services towards Cockfosters. The station is staffed entirely by Heathrow Express staff, unlike the other underground stations serving Terminal 4 and Terminals 2 & 3."
is there a zoo in las vegas nevada,Southern Nevada Zoological-Botanical Park,True,"The Southern Nevada Zoological-Botanical Park, informally known as the Las Vegas Zoo, was a 3-acre (1.2 ha), nonprofit Zoological park and botanical garden located in Las Vegas, Nevada that closed in September 2013. It was located northwest of the Las Vegas Strip, about 15 minutes away. It focused primarily on the education of desert life and habitat protection. Its mission statement was to ``educate and entertain the public by displaying a variety of plants and animals''. An admission fee was charged. The park included a small gem exhibit area and a small gift shop at the main exit. The gift shop and admission fees helped support the zoo."
can the chief justice of the supreme court be impeached,Chief Justice of India,True,"Article 124(4) of Constitution of India lays down the procedure for removal of a Judge of Supreme Court which is applicable to Chief Justice as well. Once appointed, the Chief Justice remains in the office until the age of 65 years. He can be removed only through a process of impeachment by Parliament as follows:"
does your signiture have to be your name,Signature,False,"A signature (/ˈsɪɡnətʃər/; from Latin: signare, ``to sign'') is a handwritten (and often stylized) depiction of someone's name, nickname, or even a simple ``X'' or other mark that a person writes on documents as a proof of identity and intent. The writer of a signature is a signatory or signer. Similar to a handwritten signature, a signature work describes the work as readily identifying its creator. A signature may be confused with an autograph, which is chiefly an artistic signature. This can lead to confusion when people have both an autograph and signature and as such some people in the public eye keep their signatures private whilst fully publishing their autograph."
do away goals count in the league playoffs,Away goals rule,True,"The away goals rule is applied in many football competitions that involve two-leg fixtures, including the knockout stages of the UEFA Champions League, UEFA Europa League, CAF Champions League, CAF Confederation Cup and any two-legged playoffs in qualification for the FIFA World Cup or European Championships. Major League Soccer in the U.S. and Canada introduced the away goals rule in the MLS Cup Playoffs, in which the conference semifinals and finals (the quarterfinals and semifinals of the overall tournament) are two-legged, for the first time in 2014. The rule was first applied in this competition when the Seattle Sounders defeated FC Dallas in the 2014 Western Conference Semifinals."
can a local maximum also be an absolute maximum,Maxima and minima,True,"In mathematical analysis, the maxima and minima (the respective plurals of maximum and minimum) of a function, known collectively as extrema (the plural of extremum), are the largest and smallest value of the function, either within a given range (the local or relative extrema) or on the entire domain of a function (the global or absolute extrema). Pierre de Fermat was one of the first mathematicians to propose a general technique, adequality, for finding the maxima and minima of functions."
are eyes one of the organs of our body,Human eye,True,"The human eye is an organ which reacts to light and pressure. As a sense organ, the mammalian eye allows vision. Human eyes help to provide a three dimensional, moving image, normally coloured in daylight. Rod and cone cells in the retina allow conscious light perception and vision including color differentiation and the perception of depth. The human eye can differentiate between about 10 million colors and is possibly capable of detecting a single photon."
is pulp fiction based on a true story,Pulp Fiction,False,"Since its release, Pulp Fiction has been widely regarded as Tarantino's masterpiece, with particular praise singled out for its screenwriting. The film's self-reflexivity, unconventional structure, and extensive use of homage and pastiche have led critics to describe it as a touchstone of postmodern film. It is often considered a cultural watershed, with a strong influence felt not only in later movies that adopted various elements of its style, but in several other media as well. A 2008 Entertainment Weekly list named it the best film from 1983 to 2008 and the work has appeared on many critics' lists of the greatest films ever made. In 2013, Pulp Fiction was selected for preservation in the United States National Film Registry by the Library of Congress as being ``culturally, historically, or aesthetically significant''."
does jackson avery die on grey's anatomy,Jackson Avery,False,"In the series 11 finale Kepner tells Avery that she is leaving with Owen Hunt to serve as a trauma surgeon in the Army; it will help her grieve for their son. Avery lets her go and wonders how he can deal with his own grief. After discussions over the phone via Facetime, Kepner tells Avery that she is extending her service time. The sound of gunfire and explosions are heard at April's base camp, leaving her to quickly terminate the call. On Valentine's Day, Kepner returns to the hospital, where she and Avery embrace in the foyer. In season 12, their marriage begins to fall apart and they grow estranged. In episode 11, they file for a civil divorce. After their divorce is completed, Kepner reveals that she is pregnant with Avery's child. In Season 14 Jackson begins a relationship with Maggie Pierce."
will they make a pirates of the caribbean 6,Pirates of the Caribbean (film series),True,"In September 2017, producer Jerry Bruckheimer indicated that another Pirates of the Caribbean sequel is still possible if Dead Men Tell No Tales does well in its home release. In October 2017, Kaya Scodelario said that she was contracted to return for a sixth film. Shortly after, it was announced that Joachim Rønning is being eyed to direct the film."
is time warner and time warner cable the same company,Time Warner Cable,False,"It was controlled by Warner Communications, then by Time Warner. That company spun off the cable operations in March 2009 as part of a larger restructuring. From 2009 to 2016, Time Warner Cable was an entirely independent company, continuing to use the Time Warner name under license from its former parent (including the ``Road Runner'' name for its Internet service, now Spectrum Internet)."
is mccormick and schmick owned by landry's,McCormick & Schmick's,True,"McCormick & Schmick's Seafood Restaurants Inc. is an American seafood restaurant chain, based in Portland, Oregon. As of October 2016, the company operates 72 locations in North America under various brands, including 60 restaurants across 22 U.S. states, as well as 12 Canadian locations that operate under the Boathouse name. A sale to the parent company, Landry's, Inc., was completed in January 2012."
does mercury stay a constant distance from the sun year after year,Mercury (planet),True,"Like Venus, Mercury orbits the Sun within Earth's orbit as an inferior planet, and never exceeds 28° away from the Sun. When viewed from Earth, this proximity to the Sun means the planet can only be seen near the western or eastern horizon during the early evening or early morning. At this time it may appear as a bright star-like object, but is often far more difficult to observe than Venus. The planet telescopically displays the complete range of phases, similar to Venus and the Moon, as it moves in its inner orbit relative to Earth, which reoccurs over the so-called synodic period approximately every 116 days."
do hela cells have a normal number of chromosomes,HeLa,False,"Horizontal gene transfer from human papillomavirus 18 (HPV18) to human cervical cells created the HeLa genome, which is different from Henrietta Lacks' genome in various ways, including its number of chromosomes. HeLa cells are rapidly dividing cancer cells, and the number of chromosomes varied during cancer formation and cell culture. The current estimate (excluding very tiny fragments) is a ``hypertriploid chromosome number (3n+)'' which means 76 to 80 total chromosomes (rather than the normal diploid number of 46) with 22--25 clonally abnormal chromosomes, known as HeLa signature chromosomes.'' The signature chromosomes can be derived from multiple original chromosomes, making challenging summary counts based on original numbering. Researchers have also noted how stable these aberrant karyotypes can be:"
can you use the euro in the czech republic,Czech Republic and the euro,False,"The Czech Republic is bound to adopt the euro in the future and to join the eurozone once it has satisfied the euro convergence criteria by the Treaty of Accession since it joined the European Union (EU) in 2004. The Czech Republic is therefore a candidate for the enlargement of the eurozone and it uses the Czech koruna as its currency, regulated by the Czech National Bank, a member of the European System of Central Banks, and does not participate in European Exchange Rate Mechanism II (ERM II)."
can picking your nose affect your sense of smell,Nose-picking,False,"Picking one's nose with dirty fingers or fingernails may increase risks of infection that may include an increase in the diversity of nose flora (and thus infection or illness), or occasional nosebleeds. One case of rhinotillexomania resulted in perforation of the nasal septum and self-induced ethmoidectomy. Nose picking, however, should not affect the sense of smell, as the nasal cavity where the olfactory nerves are located is too high up to reach."
do they find kate in a child in time,The Child in Time,False,"Stephen experiences a strange event that he cannot explain: he sees his parents as a young couple in a pub, before they married. The book also deals with his grief and eventually his painful acceptance of the loss of his child."
does naruto ultimate ninja storm have a story mode,Naruto: Ultimate Ninja Storm,True,"The story mode loosely covers the events of the anime up to episode 135. Players are able to explore the Hidden Leaf Village between missions, which acts as a central hub for the story mode, and access more missions."
is there a free period in high school,Period (school),True,"One special example of a high school period is the free period these typically occur after 15 minutes of being unattended. A free period (often abbreviated to ``free'' and also known as a ``spare'' or ``unstructured'') is generally found in most high schools and colleges. During a free period, a student can either:"
can a puppy see when they first open their eyes,Puppy,True,"Puppies are born with a fully functional sense of smell but can't open their eyes. During their first two weeks, a puppy's senses all develop rapidly. During this stage the nose is the primary sense organ used by puppies to find their mother's teats, and to locate their littermates, if they become separated by a short distance. Puppies open their eyes about nine to eleven days following birth. At first, their retinas are poorly developed and their vision is poor. Puppies are not able to see as well as adult dogs. In addition, puppies' ears remain sealed until about thirteen to seventeen days after birth, after which they respond more actively to sounds. Between two and four weeks old, puppies usually begin to growl, bite, wag their tails, and bark."
is a toothed belt the same as a cam belt,Timing belt (camshaft),True,"A timing belt, timing chain or cambelt is a part of an internal combustion engine that synchronizes the rotation of the crankshaft and the camshaft(s) so that the engine's valves open and close at the proper times during each cylinder's intake and exhaust strokes. In an interference engine the timing belt or chain is also critical to preventing the piston from striking the valves. A timing belt is usually a toothed belt -- a drive belt with teeth on the inside surface. A timing chain is a roller chain."
is seoul the largest city in the world,Seoul,False,"Seoul (/soʊl/, like soul; Korean: 서울 (sʌ.ul) ( listen); lit. ``Capital''), officially the Seoul Special City, is the capital and largest metropolis of South Korea. With surrounding Incheon metropolis and Gyeonggi province, Seoul forms the heart of the Seoul Capital Area, home to roughly half of the country's population. Seoul is ranked as the fourth largest metropolitan economy in the world and is larger than London and Paris."
is impaired driving a criminal offense in canada,Impaired driving in Canada,True,"Impaired driving is the term used in Canada to describe the criminal offence of operating or having care or control of a motor vehicle while the person's ability to operate the motor vehicle is impaired by alcohol or a drug. Impaired driving is punishable under multiple offences in the Criminal Code, with greater penalties depending on the harm caused by the impaired driving. It can also result in various types of driver's licence suspensions."
is health care free in the united states,Health care in the United States,False,"In 2013, 64% of health spending was paid for by the government, and funded via programs such as Medicare, Medicaid, the Children's Health Insurance Program, and the Veterans Health Administration. People aged under 67 acquire insurance via their or a family member's employer, by purchasing health insurance on their own, or are uninsured. Health insurance for public sector employees is primarily provided by the government in its role as employer."
is tartar sauce and cream of tartar the same,Tartar sauce,False,"Tartare sauce is based on either mayonnaise (egg yolk, mustard or vinegar, oil) or aioli (egg yolk, olive oil, garlic, lemon juice), with certain other ingredients added. In many places, cream of tartare is used. In the UK, recipes typically add to the base capers, gherkins, lemon juice, and dill. US recipes may include chopped pickles or prepared green sweet relish, capers, onions (or chives), and fresh parsley. Chopped hard-boiled eggs or olives are sometimes added, as may be Dijon mustard and cocktail onions. Paul Bocuse describes sauce tartare explicitly as a sauce remoulade, in which the characterising anchovy purée is to be substituted by some hot Dijon mustard."
do you have to serve to score in tennis,Tennis scoring system,False,"A game consists of a sequence of points played with the same player serving, and is won by the first side to have won at least four points with a margin of two points or more over their opponent. Normally the server's score is always called first and the opponent's score second. Score calling in tennis is unusual in that each point has a corresponding call that is different from its point value."
can u drive in canada with us license,American entry into Canada by land,True,Persons driving into Canada must have their vehicle's registration document and proof of insurance.
is new jersey a suburb of new york city,New York metropolitan area,True,"The New York metropolitan area, also referred to as the Tri-State Area, is the largest metropolitan area in the world by urban landmass, at 4,495 sq mi (11,640 km). The metropolitan area includes New York City (the most populous city in the United States), Long Island, and the Mid and Lower Hudson Valley in the state of New York; the five largest cities in New Jersey: Newark, Jersey City, Paterson, Elizabeth, and Edison, and their vicinities; six of the seven largest cities in Connecticut: Bridgeport, New Haven, Stamford, Waterbury, Norwalk, and Danbury, and their vicinities."
is the caribbean sea a part of the atlantic ocean,Caribbean Sea,True,"The Caribbean Sea (Spanish: Mar Caribe; French: Mer des Caraïbes; Dutch: Caraïbische Zee) is a sea of the Atlantic Ocean in the tropics of the Western Hemisphere. It is bounded by Mexico and Central America to the west and south west, to the north by the Greater Antilles starting with Cuba, to the east by the Lesser Antilles, and to the south by the north coast of South America."
is there a group called the five heartbeats,The Five Heartbeats,False,"To promote the film prior to its release, Townsend, along with the other actors who portrayed the fictional musical quartet The Five Heartbeats (Leon Robinson, Michael Wright, Harry J. Lennix, and Tico Wells) performed in a concert with real-life Soul/R&B vocal group The Dells, one of many groups that inspired the film. The Dells sang and recorded the vocals as the actors lip synced."
do supreme court justices have to be confirmed,Appointment and confirmation to the Supreme Court of the United States,True,"In modern times, the confirmation process has attracted considerable attention from special-interest groups, many of which lobby senators to confirm or to reject a nominee, depending on whether the nominee's track record aligns with the group's views. The Senate Judiciary Committee conducts hearings, questioning nominees to determine their suitability. By convention, nominees avoid revealing too much about their views on potential cases that may come before the Court. At the close of confirmation hearings, the Committee votes on whether the nomination should go to the full Senate with a positive, negative or neutral report."
was michigan a state during the civil war,Michigan in the American Civil War,False,"Before the Civil War, President James Buchanan took a weak position amid a looming South secession crisis. Secretary of State Lewis Cass of Michigan, a 78-year-old elder statesman who has been Michigan's U.S. senator and governor of Michigan Territory, resigned from Buchanan's cabinet in protest, remarking that ``he had seen the Constitution born and now feared he was seeing it die''."
are there any tim hortons in the us,Tim Hortons,True,"2011 saw Tim Hortons aggressively expanding into the Grand Rapids, Michigan region. In 2012, Tim Hortons began advertising in the Youngstown, Ohio area in anticipation of an eventual expansion into the Mahoning Valley. The closest location at the time was in Calcutta, Ohio, about 50 miles south of Youngstown. The chain entered the area in July 2012 with the opening of a location in Hermitage, Pennsylvania. As of 2012 the company had expanded across the US states of Connecticut, Indiana, Kentucky, Maine, Massachusetts, Michigan, New York, Ohio, Pennsylvania, Rhode Island, and West Virginia. The first expansion into Indiana was the opening of a location in Richmond, Indiana's east central side. On January 7, 2014, Tim Hortons opened a kiosk in the Gila River Arena (where the Arizona Coyotes of the NHL play) in Glendale, Arizona. On March 5, 2014, The Arizona Coyotes announced that as of March 10, 2014, the Tim Hortons stand would be open to the public from 9:00 to 15:00, seven days a week. This location is the first Tim Hortons in Arizona. A flagship Tim Hortons location within the Buffalo area opened across from the KeyBank Center (then First Niagara Center) at the HarborCenter complex on October 29, 2014. The location honours the life and legacy of Tim Horton. 2014 also saw expansion into North Dakota, with franchises open in Fargo, Grand Forks, and Minot. The chain also planned to open 40 outlets in the St. Louis, Missouri area starting in 2015, first selling coffee and hot chocolate at Scottrade Center during St. Louis Blues games, followed by the opening of a full-service store in the suburb of Maplewood and an ``express'' location inside a Frontenac bank building."
is adjusted gross income the same as taxable income,Adjusted gross income,False,"In the United States income tax system, adjusted gross income (AGI) is an individual's total gross income minus specific deductions. Taxable income is adjusted gross income minus allowances for personal exemptions and itemized deductions. For most individual tax purposes, AGI is more relevant than gross income."
is there a congestion charge in london on sunday,London congestion charge,False,"The London congestion charge is a fee charged on most motor vehicles operating within the Congestion Charge Zone (CCZ) in Central London between 07:00 and 18:00 Mondays to Fridays. It is not charged on weekends, public holidays or between Christmas Day and New Year's Day (inclusive). The charge was introduced on 17 February 2003. As of 2017, the London charge zone remains as one of the largest congestion charge zones in the world, despite the cancellation of the Western Extension which operated between February 2007 and January 2011. The charge aims to reduce high traffic flow and pollution in the central area and raise investment funds for London's transport system."
is all of europe on the same time zone,Time in Europe,False,"Europe spans 7 primary time zones (from UTC−01:00 to UTC+05:00), excluding summer time offsets (4 of them can be seen on the map to the right, with 1 further-western zone containing the Azores, and 2 further-eastern zones spanning Georgia, Azerbaijan, eastern territories of European Russia, and the European part of Kazakhstan). Most European countries use summer time and harmonise their summer time adjustments. See Summer time in Europe for details."
is it illegal to smoke weed in ct,Cannabis in Connecticut,True,"Cannabis in Connecticut is illegal for recreational use, but possession of small amounts is decriminalized. Medical usage is permitted."
does the national guard stay in the us,National Guard of the United States,False,"Prior to the attacks against the United States on September 11, 2001, the National Guard's general policy regarding mobilization was that Guardsmen would be required to serve no more than one year cumulative on active duty (with no more than six months overseas) for each five years of regular drill. Due to strains placed on active duty units following the attacks, the possible mobilization time was increased to 18 months (with no more than one year overseas). Additional strains placed on military units as a result of the invasion of Iraq further increased the amount of time a Guardsman could be mobilized to 24 months. Current Department of Defense policy is that no Guardsman is involuntarily activated for more than 24 months (cumulative) in one six-year enlistment period."
is better call saul set after breaking bad,Better Call Saul,False,"Better Call Saul is an American television crime drama series created by Vince Gilligan and Peter Gould. It is a spin-off prequel of Gilligan's prior series Breaking Bad. Set in the early 2000s, Better Call Saul follows the story of con-man turned small-time lawyer, Jimmy McGill (Bob Odenkirk), six years before the events of Breaking Bad, showing his transformation into the persona of criminal-for-hire Saul Goodman. Jimmy becomes the lawyer of former beat cop Mike Ehrmantraut (Jonathan Banks), whose relevant skill set allows him to enter the criminal underworld of drug trafficking in Albuquerque, New Mexico. The show premiered on AMC on February 8, 2015. The 10-episode fourth season is scheduled to air starting August 6, 2018, and the show has been renewed for a fifth season."
is it possible to give birth to twins with different fathers,Superfecundation,True,"Superfecundation is the fertilization of two or more ova from the same cycle by sperm from separate acts of sexual intercourse, which can lead to twin babies from two separate biological fathers. The term superfecundation is derived from fecund, meaning the ability to produce offspring. Heteropaternal superfecundation refers to the fertilization of two separate ova by two different fathers. Homopaternal superfecundation refers to the fertilization of two separate ova from the same father, leading to fraternal twins. While heteropaternal superfecundation is referred to as a form of atypical twinning, genetically, the twins are half siblings. Superfecundation, while rare, can occur through either separate occurrences of sexual intercourse or through artificial insemination."
can you have a maid of honor and a chief bridesmaid,Bridesmaid,False,"The principal bridesmaid, if one is so designated, may be called the chief bridesmaid or maid of honor if she is unmarried, or the matron of honor if she is married. A junior bridesmaid is a girl who is clearly too young to be married, but who is included as an honorary bridesmaid. In the United States, typically only the maid/matron of honor and the best man are the official witnesses for the wedding license."
did star wars episode 3 come out on vhs,Star Wars: Episode III – Revenge of the Sith,True,"The film was released on DVD and VHS on October 31, 2005 (Halloween), in the UK and Ireland, on November 1, 2005 in the United States and Canada on DVD and on November 3, 2005, in Australia. It was also released in most major territories on or near the same day. The DVD was a two-disc set, with picture and sound mastered from the original digital source material."
does gaston die in the original beauty and the beast,Gaston (Beauty and the Beast),True,"In addition to eliminating Belle's sisters, screenwriter and creator Linda Woolverton introduced Gaston as a ``blockheaded suitor'' for the heroine, basing the character on boyfriends she had dated in the past. Several darker elements originally conceived for the film were ultimately written out of the final version, among them the idea of Gaston himself first visiting the insane asylum in which he plans on imprisoning Belle's father Maurice. After Woolverton re-wrote Belle into a more liberated Disney heroine, the animators struggled to realize the screenwriter's vision and briefly depicted the character shoving Gaston into a closet after he proposes to her, an idea Woolverton strongly contested and fought to have written out of the film in favor of Belle rejecting her suitor's proposal in a less ``bitchy'' way. During Gaston and the Beast's climatic battle, the character was originally intended to yell ``Time to die!'' to his opponent, but the writers ultimately replaced this line with ``Belle is mine!'' in order to return some of the scene's focus to the heroine of the story, over whom the two men are fighting. Additionally, Gaston's death was originally intended to have resulted from him being eaten alive by wolves after surviving his fall from the Beast's castle, suffering only a broken leg; this idea was ultimately discarded and eventually resurrected for Scar's death in The Lion King (1994). The writers also briefly deliberated having Gaston kill himself once he realizes that Belle will never love him, but this idea was also quickly discarded. Small skulls were drawn in Gaston's eyes as he descends from the Beast's castle to confirm that he does, in fact, die from his fall."
is benzalkonium chloride the same as hydrogen peroxide,Benzalkonium chloride,False,"Benzalkonium chloride is also used in many non-consumer processes and products, including as an active ingredient in surgical disinfection. A comprehensive list of uses includes industrial applications. An advantage of benzalkonium chloride, not shared by ethanol-based antiseptics or hydrogen peroxide antiseptic, is that it does not cause a burning sensation when applied to broken skin. . However, prolonged or repeated skin contact may cause dermatitis."
can i get my ashes shot into space,Space burial,True,"Private companies such as Celestis, Inc., Elysium Space, Ascending Memories,, Orbital Memorialsand Horizon Ascending Limited., offer space burial services."
is season 4 of better call saul out,Better Call Saul (season 4),True,"The fourth season of the American television drama series Better Call Saul premiered on August 6, 2018, and concluded on October 8, 2018. The fourth season consists of 10 episodes and aired on Mondays at 9:00 pm (Eastern) in the United States on AMC. Better Call Saul is a spin-off prequel of Breaking Bad created by Vince Gilligan and Peter Gould who also worked on Breaking Bad."
is the university of chicago an ivy league school,Ivy League,False,"The Ivy League is a collegiate athletic conference comprising sports teams from eight private universities in the Northeastern United States. The conference name is also commonly used to refer to those eight schools as a group beyond the sports context. The eight members are Brown University, Columbia University, Cornell University, Dartmouth College, Harvard University, the University of Pennsylvania, Princeton University, and Yale University. The term Ivy League has connotations of academic excellence, selectivity in admissions, and social elitism."
did alphonse areola play in world cup 2018,Alphonse Areola,True,He also represented France at every youth level and was part of the France U20 side that won the FIFA U-20 World Cup in 2013 and the senior side that won the 2018 FIFA World Cup trophy.
is europe a part of the united states,United States–European Union relations,False,"Relations between the United States of America (US) and the European Union (EU) are the bilateral relations between that country and the supranational organization. The US and EU have been interacting for more than sixty years. US-EU relations officially started in 1953 when US ambassadors visited the European Coal and Steel Community (former EU). The two parties share a good relationship which is strengthened by cooperation on trade, military defense and shared values."
is boiling point a characteristic property of matter,Characteristic property,True,"A characteristic property is a chemical or physical property that helps identify and classify substances. The characteristic properties of a substance are always the same whether the sample being observed is large or small. Examples of characteristic properties include freezing/melting point, boiling/condensing point, density, viscosity and solubility."
does a junctional rhythm have a p wave,Junctional rhythm,False,Junctional rhythm can be diagnosed by looking at an ECG: it usually presents without a P wave or with an inverted P wave. Retrograde P waves refers to the depolarization from the AV node back towards the SA node.
is women's college world series double elimination,Women's College World Series,True,"The Women's College World Series (WCWS) is the final portion of the NCAA Division I Softball Championship for college softball in the United States. The tournament format consists of two four-team double-elimination brackets. The winners of each bracket then compete in a best-of-three series to determine the Division I WCWS National Champion. The WCWS takes place at ASA Hall of Fame Stadium in Oklahoma City. From 1969 to 1981, the women's collegiate softball championship was also known as the Women's College World Series and was promoted as such. During 1969--1979, the series was played in Omaha, and in 1980--1982 in Norman, Oklahoma. The NCAA held its first six Division I tournaments in Omaha in 1982--1987, followed by Sunnyvale, California in 1988--1989. The event has been held in Oklahoma City every year since then, except for 1996 in Columbus, Georgia."
is it illegal to flash your headlights to warn of police uk,Headlight flashing,False,"Though not all of its rules represent law, the Highway Code states ``Only flash your headlights to let other road users know that you are there. Do not flash your headlights in an attempt to intimidate other road users''. Drivers warning others about speed traps have been fined in the past for ``misuse of headlights''."
have the oakland athletics won a world series,Oakland Athletics,True,"The Oakland Athletics, often referred to as the A's, are an American professional baseball team based in Oakland, California. They compete in Major League Baseball (MLB) as a member club of the American League (AL) West division. The team plays its home games at the Oakland--Alameda County Coliseum. They have won nine World Series championships, the third-most of all current MLB teams. The 2017 season was the club's 50th while based in Oakland."
is a pterodactyl the same as a pteranodon,Pteranodon,False,"Unlike earlier pterosaurs, such as Rhamphorhynchus and Pterodactylus, Pteranodon had toothless beaks, similar to those of birds. Pteranodon beaks were made of solid, bony margins that projected from the base of the jaws. The beaks were long, slender, and ended in thin, sharp points. The upper jaw, which was longer than the lower jaw, was curved upward; while this normally has been attributed only to the upward-curving beak, one specimen (UALVP 24238) has a curvature corresponding with the beak widening towards the tip. While the tip of the beak is not known in this specimen, the level of curvature suggests it would have been extremely long. The unique form of the beak in this specimen led Alexander Kellner to assign it to a distinct genus, Dawndraco, in 2010."
is hong kong inside the great firewall of china,Internet censorship in China,False,"Although the censorship affects the whole nation, it does not affect China's special administrative regions such as Hong Kong and Macau. This is because these regions enjoys a high degree of autonomy, as specified in local laws and the ``One country, two systems'' principle. Nevertheless, it was reported that the central government authorities has been closely monitoring the Internet use in these regions."
did greg oden win a championship with miami,Greg Oden,False,"On January 15, 2014, Oden made his long-awaited return to the court. In his first regular season game since December 2009, he recorded 6 points and 2 rebounds in 8 minutes of game time in a 114--97 loss to the Washington Wizards. On February 23, 2014, Oden made his first start since December 2009 in the Heat's 93--79 win over the Chicago Bulls. The Heat made the 2014 NBA Finals where they faced the San Antonio Spurs. They went on to lose the series in five games."
is day of the dead bloodline a sequel,Day of the Dead: Bloodline,False,"Day of the Dead: Bloodline is a 2018 action horror film directed by Hèctor Hernández Vicens and written by Mark Tonderai and Lars Jacobson, based on characters created by George A. Romero. The film stars Johnathon Schaech, Sophie Skelton, Marcus Vanco, and Jeff Gum. It is one of two remakes of Romero's original 1985 film Day of the Dead, with the first released in 2008. The film was released on January 5, 2018."
is the first round of nhl playoffs 5 games,Stanley Cup playoffs,False,"The Stanley Cup playoffs consists of four rounds of best-of-seven series. Each series is played in a 2--2--1--1--1 format, meaning the team with home-ice advantage hosts games one, two, five, and seven, while their opponent hosts games three, four, and six. Games five, six, and seven are only played if needed."
did england ever win the soccer world cup,1966 FIFA World Cup,True,"The 1966 FIFA World Cup was the eighth FIFA World Cup and was held in England from 11 to 30 July 1966. England beat West Germany 4--2 in the final, winning the Jules Rimet Trophy. It is England's only FIFA World Cup title. They were the fifth nation to win and the third host nation to win after Uruguay in 1930 and Italy in 1934."
does the jeep compass come in a 6 cylinder,Jeep Compass,False,"All trim levels will be available with either front-wheel drive or four-wheel drive, with the exception of the Trailhawk, which is only available in a 4WD configuration. More than 65 percent of the upper body structure and frame is made of high-strength steel. In the United States, the Compass comes equipped with a 2.4L Tigershark four-cylinder engine."
did they cancel whose line is it anyway,Whose Line Is It Anyway? (U.S. TV series),True,"Production of the American version was canceled by ABC in 2003 because of low ratings, with already-produced episodes airing first-run into 2004. The ABC Family cable channel, which had been airing repeats of the show since 2002, also showed ``new'' episodes from 2005 to 2006, formed from previously filmed but unaired performances."
was nova scotia part of the 13 colonies,History of Nova Scotia,False,"The American Revolution (1776--1783) had a significant impact on shaping Nova Scotia. At the beginning, there was ambivalence in Nova Scotia, ``the 14th American Colony'' as some called it, over whether the colony should join the Americans in the war against Britain. A small number of Nova Scotians went south to serve with the Continental Army against the British; upon the completion of the war these supporters were granted land in the Refugee Tract in Ohio."
does company of heroes 2 have a campaign,Company of Heroes 2,True,"Company of Heroes 2's campaign also tackles Joseph Stalin's Order No. 227, which prohibits retreating except under the direction of senior officers. Starting from the fifth mission set in Stalingrad, Order 227 will be in effect if the player deploys Fresh Conscripts, Frontovik Squads, or Penal Battalions. A time bar appears on the left side of the map display; for that duration, players must not have their soldiers go into full retreat back to headquarters or else said soldiers will be executed for doing so."
is tanjore a traditional indian folk art form,Indian painting,True,"Tanjore painting is an important form of classical South Indian painting native to the town of Tanjore in Tamil Nadu. The art form dates back to the early 9th century, a period dominated by the Chola rulers, who encouraged art and literature. These paintings are known for their elegance, rich colours, and attention to detail. The themes for most of these paintings are Hindu Gods and Goddesses and scenes from Hindu mythology. In modern times, these paintings have become a much sought-after souvenir during festive occasions in South India."
is the mafia still active in new jersey,DeCavalcante crime family,True,"The DeCavalcante crime family is an Italian-American organized crime family that operates in Elizabeth, New Jersey, and surrounding areas in the state and is part of the nationwide criminal phenomenon known as the American Mafia (or Cosa Nostra). It operates on the other side of the Hudson River from the Five Families of New York, but it maintains strong relations with many of them, as well as with the Philadelphia crime family and the Patriarca crime family of New England. Its illicit activities include bookmaking, building, cement, and construction violations, bootlegging, corruption, drug trafficking, extortion, fencing, fraud, hijacking, illegal gambling, loan-sharking, money laundering, murder, pier thefts, pornography, prostitution, racketeering, and waste management violations. The DeCavalcantes are, in part, the inspiration for the fictional DiMeo crime family of HBO's dramatic series The Sopranos. The DeCavalcante family was the subject of the CNBC program Mob Money, which aired on June 23, 2010, and The Real Sopranos TV documentary (first airdate April 26, 2006) directed by Thomas Viner for the UK production company Class Films."
